Winery Name,Winery Description,Website,Winery Location,Phone #,Trade Show Location,Product 1 Name,Product 1 Description,Product 2 Name,Product 2 Description,Product 3 Name,Product 3 Description,Product 4 Name,Product 4 Description,Product 5 Name,Product 5 Description,Product 6 Name,Product 6 Description,Product 7 Name,Product 7 Description,Product 8 Name,Product 8 Description,Product 9 Name,Product 9 Description,Product 10 Name,Product 10 Description
BORNOS VINOS & LICORES,"BORNOS Vinos & Licores is the meeting point for a new era in the world of wine, where our passion for it translates into innovation and authenticity, merging history with the future. Each of our wineries and their brands come together under a concept that challenges the conventional. While preserving their character, personality, and identity, they are all guided by a unique philosophy. And we do so with a specific goal in mind: to elevate everything we expect from wine through quality, continuous improvement, and excellence, always thinking about what the consumer seeks at every moment. Currently, we bring together seven wineries rooted in six prestigious wine regions of Spain: Palacio de Bornos (D.O. Rueda), Señorío de Sarría (D.O. Navarra), Lleiroso and Dominio de Bornos (D.O. Ribera del Duero), Martínez Corta (D.O.Ca. Rioja), Bucrana (D.O. Toro), and Guelbenzu (Finca la Lombana). To all of this, we add the spirits we produce at Casa D’Aristi, originating from Mexico.",https://www.bornosbodegas.com,"FINCA SEÑORIO DE SARRIA S/N, 31100, PUENTE DE LA REINA , Spain",+34 649 562 037,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 480",Palacio de Bornos Verdejo Colección de Familia Sergio Hernández,"Family Collection is a range of limited editions where wine and art come together through the work, passion and inspiration of the winemaker in the cellar and the artist in the studio. In each edition, a winery, an origin and a prestigious artist come together in a unique dialogue, but under the same vision: to create a unique and captivating work that is both wine and art culture. The label of Palacio de Bornos Gran Vino de Rueda Edición Sergio Hernández reproduces the work of the renowned Mexican artist, reflecting, thanks to his unmistakable style full of luminosity and liveliness, the origin of wine: the grape, the bunch. Verdejo from old bush vines, double grape selection, fermentation in ceramic amphorae, ageing on lees for nine months and prolonged subsequent rest in the bottle make this wine something extraordinary, creating an unforgettable sensation that leaves its mark.",La Caprichosa Verdejo Sobre Lías,"It shows a pale yellow color with greenish reflections. On the nose, it offers high aromatic intensity, marked by a wide range of varietal aromas—hay, balsamic notes, and citrus—along with a hint of maturity contributed by the lees aging. On the palate, it has good structure, presenting itself as balanced, smooth, and velvety, with a long finish that recalls the aromas perceived on the nose.",Lleiroso Crianza,"It has an intense cherry red colour with ruby reflections, with a high layer, clean and bright. On the nose it offers a high aromatic intensity, where ripe black fruit is elegantly integrated with notes of wood, spices, cloves, smoky nuances and a delicate background of liquorice. On the palate it is voluminous, round and velvety, with a balanced and very pleasant mid-palate, which leads to a long and persistent aftertaste.",Lleiroso Colección de Familia Joan Miró,"This wine is made in harmony with the painter Joan Miró, creator of the artwork featured on the label of this magnificent Reserva. It is made from 100% Tempranillo sourced from old vines, with a strict selection of grapes both in the vineyard and upon arrival at the winery. Aged for eighteen months in new French oak barrels, it displays an intense ruby-red color with a high layer and dense tears. It offers an intense aroma with notes of ripe and candied red fruit, complemented by toasted nuances from the barrel. On the palate, it is powerful, expressive, and elegant, with characteristic balsamic touches that reflect the mineral-rich area where it originates.",Viñedo Cinco Grenache Old Vines,"It displays a raspberry red color. On the nose, it offers intense aromas of wild berries such as currants, raspberries, and strawberries, accompanied by delicate milky and floral notes, especially violets. On the palate, it is fresh, flavorful, and luscious, with red fruit flavors combined with milky hints reminiscent of wild berry yogurt, resulting in a broad, persistent, and very pleasant finish.",Guelbenzu Evo,"It shows an intense cherry red color. On the nose, it offers powerful aromas of ripe black fruit, perfectly integrated with toasted and spicy notes and a balsamic finish. On the palate, it is powerful and structured, with flavors of ripe black fruit, spices, and balsamic hints combined with round tannins, revealing a wide range of nuances and complexity. The finish is long, persistent, elegant, and well-rounded.",Martínez Corta Crianza,"It displays a cherry red color with garnet hues. On the nose, it shows intense aromas of red and black fruit, accompanied by floral and spicy notes, with a balsamic finish that adds freshness. On the palate, it is flavorful, fresh, and well-balanced, with pronounced fruity and spicy character complemented by creamy nuances, vanilla, and subtle toasted notes, revealing power and good structure.",Bucrana Crianza,"It shows an intense cherry red color with purple hues and a medium-high layer. On the nose, it is very expressive and harmonious, with aromas of black fruit, aniseed notes, balsamic hints, and mineral nuances. On the palate, it is structured and balanced, with soft, sweet tannins, finishing with a long and silky aftertaste.",Laué Frizzante Verdejo,"Made from Verdejo grapes and fermented in isobaric tanks to maintain its natural effervescence. It has a pale yellow color with light green highlights. Intense aromas of citrus, peach and tropical fruits stand out on the nose. The palate is fresh, with a marked presence of carbon dioxide and an excellent balance between acidity and sweetness.",Narano,"Narano captures the bright, spicy profile of the Yucatan's endemic bitter orange, a common and versatile fruit that grows in the region and is often used in local cuisine, for example, in marinades or sauces. Its acidic touch, together with its herbaceous notes, make it very accessible in a wide range of cocktails to which it adds a citrus touch. Perfect for an all-Mexican margarita."
BODEGAS VERDUGUEZ,,https://www.bodegasverduguez.com,"C/ LOS HINOJOSOS 1, 45810, VILLANUEVA DE ALCARDETE , Spain",,"Montjuïc, Pavilion 8, Level 0, Street A, Stand 331","MOJITO & SPRITZ, 5,5% OR 0%","Mojito and spritz 5,5% or 0% , available 75cl and also in Can!","A TONO MOJITO & SPRITZ 5,5% OR 0% IN CAN!","Mojito and Spritz available 5,5% or 0% in 75cl or 25cl Can!",EVADNE WHITE AND ROSE SPARKLING WINE,Evadne white and rose sparkling wine available also Non Alcoholic,,,,,,,,,,,,,,
CELLER LES FRESES,"Les Freses Winery is a Boutique winery focused on estate certified organic grapes to produce wines from endemic Valencian varieties under the Alicante appellation where our ancestors had cultivated them for millennia, situated between Dénia and Jávea on the Spanish Levant. Our goal: Mediterranean freshness, full in your palate, low-alcohol and light fresh wines.",https://www.lesfreses.com,606797938,,"Montjuïc, Pavilion 8, Level 0, Street F, Stand 288",Les Freses,"VITICULTURA 100% moscatel de Alejandría plantado en espaldera a doble guyot sobre suelos arcillosos, con una producción media por hectárea de 4000 kg/ha. Este viñedo de 17 años de 6 ha, solo recibe enmiendas naturales y además de una poda en seco, continuas podas en verde. Vendimiamos manualmente en cajas de 12kg con mesa de selección y despalillado la primera semana de agosto. ELABORACIÓN Y CRIANZA Tras una maceración de 24 h, arranca la fermentación con levaduras propias y la mantenemos con la temperatura controlada a 15ºC en depósitos de inox. Con una ligera filtración y un nivel de sulfitos bajo. NOTAS DE CATA En visual es amarillo pajizo claro, brillante y con reflejos verdes típicos de la moscatel y en nariz es un moscatel lleno de flores frescas, jazmín, flor de azahar, manzanilla, rosa y polvos de talco. En boca, seco totalmente, placentero, citrico con limoncillo, pétalos carnosos y su retrogusto es largo en boca, de hinojo, jengibre y pimienta blanca, salino y toque a pomelo.",Àmfora,"Una vinificación al estilo de los íberos de s VII ac que colonizaron nuestra comarca, para ofrecer un vino muy de hoy. Un vino que busca ser el mejor reconocimiento a nuestros antepasados y a nuestra tierra. Un visual de oro, limpio y con reflejos brillantes pajizos. Intenso y distinguido con aromas florales en nariz. Complejo, seco y salino en banco.",Lhorabona,Vinificación sobre lías en damajuanas de 54L.,Paquita Mut,"De una pequeña parcela de viñas de más de 70 años, la moscatel se vuelve sabia y tranquila.",La Rectoría,Las viñas viejas de 70 años nos dan muy pocos racimos que fermentaremos en barricas de roble.,Dolç,"Uvas de moscatel, pasificadas en la planta, para un dulce lleno de frutos secos, orejones y mucha tensión.",Tallaruques,"Un coupage 100% valenciano: Giró, Forcallat, Monastrell, Bobal y Tardana. Baja graduación y cuerpo.",Cupertino,"100% giró, la garnacha de nuestra comarca, más ligera y menos alcohólica.",Xiulit,"La variedad Forcallat nos encanta: poco tanino y mucha fruta, poco alcohol y muchas posibilidades de maridaje.",Les Freses Rosa,"In our obsession to find the happiest Muscat vines in our region, we found an ""albino"" Hamburg Muscat or pink Muscat plant and began vinification soon there after. The Muscat grape family includes about two hundred varieties of the Vitis vinifera grape. The breadth and number of Muscat varieties suggest that it may be the oldest cultivated grape variety in the world, thus an aspiration of Les Freses. After more than twelve years and a huge amount of work by our botanist friend Jaume X. Soler in the laboratory, we managed to plant a vineyard of 400 plants with which we vinify this still rosé on the estate."
FALCON VINES,"We are producers and market leaders in sourcing and exporting Spanish wines. For over 10 years, we have selected wines from Spain’s key wine regions and supplied partners worldwide, combining deep market expertise with a strong commitment to quality and reliability. This year, we are proud to highlight our strategic focus on alcohol-free wines, created to meet modern consumer demand while preserving authenticity and character. Our main exhibition highlight is Buen Finde — a new line of 0 % still and sparkling wines made from authentic Spanish grape varieties, including Verdejo, Airén, and Tempranillo. Using advanced dealcoholisation techniques, Buen Finde preserves natural aroma, balance, and body. With its genuine Spanish identity and contemporary design, Buen Finde stands out in the fast-growing alcohol-free segment and offers strong opportunities for international partnerships. Visit our stand to taste the range and explore new business opportunities.",https://www.falconvines.com/,(+34) 722 11 43 62,,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 625",Buen Finde 0.0% Verdejo — Verdejo Freshness Without Alcohol,"A 0.0% white wine crafted from natural Spanish Verdejo, an indigenous grape celebrated for its fresh, Mediterranean character. Bright citrus and herbal notes with a crisp, lively palate. A perfect alcohol-free way to experience true Spanish terroir.",Buen Finde 0.0% Alc. Frizzante — Bubbles to Fall in Love With,"Frizzante 0.0% made from natural Spanish wine made with 100% Airén grapes. With fine, elegant bubbles, it seduces with ripe white-fruit aromas and a subtle floral touch. Light, vibrant and irresistibly refreshing — the perfect alcohol-free choice to toast and enjoy a sparkling experience that invites you to come back for more.",Buen Finde Tempranillo 100% — The Art of Enjoying Without Alcohol,"A 0.0% red wine for those who enjoy life: authentic flavour, calm moments and the freedom to choose. It features aromas of red berries and plum, with a silky, expressive palate that’s perfect for sharing or savouring slowly. Its finish offers a delicate, smooth and persistent tannic note, evoking the elegant character of a fine red wine. Inspired by the Buen Finde philosophy: live more, worry less. Made from 100% Tempranillo native grapes and produced in Spain.",NEW! Buen Finde Rosé 0.0% — Inspiring Freshness,"A 0.0% rosé for those who enjoy life’s small pleasures: vibrant colour, light flavour and the freedom to choose. It offers aromas of strawberry, raspberry and rose petals, with a fresh, juicy and balanced palate — perfect for toasting, sharing or enjoying without hurry. Its elegant finish leaves a fruity and delicate sensation, evoking the seductive character of a fine rosé. Inspired by the Buen Finde philosophy: live more, worry less. Made from 100% Tempranillo grapes. Product of Spain.",Amigama Verdejo,"Amigama Verdejo is a bright and approachable white wine that captures the warmth of Spain in every glass. Pale yellow with a lemon hue, it offers aromas of stone fruit, tropical notes, citrus and a touch of tomato leaf. On the palate it is lively and refreshing, with marked acidity and a subtle bitterness that extends the flavour and adds character. Fresh, balanced and very easy to enjoy, it’s perfect for relaxed moments. From DO La Mancha, Amigama invites you to toast and enjoy life.",Amigama Tempranillo,"Amigama Tempranillo is a gentle and welcoming red wine, made from 100% Tempranillo grapes. On the palate it is round, fruity and comforting, filling the mouth with smoothness and balance. A friendly wine, easy to love and even easier to enjoy again — perfect for sharing, relaxing and savouring a pleasant moment. DO La Mancha. Organic. Wine of Spain.",,,,,,,,
SIDRAS BEREZIARTUA SAGARDOAK,"Sidras Bereziartua is a family company that has been dedicated to the cider activity since 1870. It was then when we made the first elaborations of Bereziartua Ciders in our old facilities in Ergobia. A century later, in 1970, our cider maker bet definitively for the elaboration of ""sagardua"" in its current facilities in Astigarraga, the place where we are nowadays. Since then, and after different modernization processes, Bereziartua has become a reference in the elaboration of natural cider maintaining the family character at the service of tradition, respect and gratitude to our loyal customers.",http://www.bereziartuasagardoa.com,"BERE-ARAN ETXEA IPARRALDE BIDEA 16, 20115, ASTIGARRAGA , Spain",+34 650 22 80 18,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 185",Cider Bereziartua D.O. Euskal Sagardoa,"Cider made from a blend of different 100% native apples from the Basque Country. The elaboration is made using traditional methods, followed by fermentation in wooden tanks for at least 4 months and with apples duly selected beforehand. It has an aged golden color that is characteristic of the apple itself. Its aroma is intense, deep and fruity, with a very pleasant taste on the palate.",Cider Bereziartua Gourmet,"The elaboration of this cider is made by blending different wild apples such as Txalaka, Urtebia, Gezamina, etc.... The elaboration is made using traditional methods, followed by fermentation in wooden tanks for at least 4 months and with apples duly selected beforehand. It has a fine and expressive golden color. Its aroma is intense and fruity. In the mouth it is a cider with very characteristic features, with a deep and pleasant taste.",Ona cider,"Blend of the best wild apples selected by hand. Its elaboration is made by joining the wisdom of our ancestors, respecting their customs about the moons, types of apples and their different acidity, optimal harvesting moments, etc... It is then fermented in wooden barrels and we collect the natural carbon dioxide it produces. We make a small filtering and introduce the natural carbonic previously collected to give a fresher touch to the final product.",Bereziartua Eco-Bio-Organic Cider,"Natural organic cider produced with 100% organic wild apples. Made with traditional methods and fermented in wooden barrels for a minimum of 4 months. It has a straw yellow color, its aroma is fruity and fresh, and as for its flavor, it has a great homogeneity of bitter sweetness.",Bereziartua organic apple juice,This juice is obtained from our 100% organic apples from which we extract the juice and pasteurize it so that it does not lose the essence and freshness of the product.,,,,,,,,,,
VIÑALESA,"VIÑALESA brings together Spanish family wineries that share the same philosophy: respect for tradition, the vineyard and the origin. A project that unites generations of winegrowers to produce authentic wines, a reflection of the diversity and richness of the different wine-growing territories of Spain.",http://www.vinalesa.wine,"CALLE JUPITER 17, 29649 , Spain",+34 605 384 970,"Montjuïc, Pavilion 8, Level 0, Street F, Stand 114","ANTONIO GONZALEZ Albariño, DO Ribeiro","Family vineyards in the fourth generation. Manual harvest. The must obtained during pressing is cooled and clarified by the gravitational method. It is then fermented in stainless steel tanks at low temperature to preserve its aromas. Aged on lees for at least 4 months. The selected vineyards, with an area of 2 hectares, are located on the southwest-facing slopes of the Avia River valley. The planting density is 4,200 vines per hectare. The soils are very poor, with low clay content, but are characterized by a high presence of granitic sand, known as Sabrego, typical of the Ribeiro region. It has a bright yellow color with greenish reflections. It is a very aromatic and fresh wine on the palate, with vibrant notes of white fruit and citrus. With balanced acidity, it is both mineral and fruity.","ANTONIO GONZALEZ Godella, DO Ribeiro","The vines are planted by hand, exclusively in non-forest areas, respecting the trees. The family takes care of the vineyards for years until they begin to bear fruit. They avoid the use of herbicides and practice viticulture in harmony with nature. This meticulous and laborious work is rewarded with a harvest of grapes of exceptional quality, which are picked by hand. The grapes are grown using selective methods and harvested by hand. The must obtained during pressing is cooled and clarified by the gravitational method, and then fermented in stainless steel tanks at a low temperature, thus preserving the varietal aroma of the grapes. It has a yellow color with greenish reflections. Its aroma is vibrant, with notes of apple and green plum, complemented by subtle nuances of fennel and freshly cut grass. On the palate it is refreshing, with a long and fruity finish.","NOVILUNIO ALBARIÑO, DO Rías Baixas","Suelos graníticos, arenosos y muy permeables, que permite obtener vinos muy finos, con acidez equilibrada. El entorno de clima atlántico, con temperaturas suaves durante el verano, favorece una maduración lenta y delicada, además de la conservación de los aromas afrutados. Vendimiado a mano, racimo a racimo, en cajas de 15 kg. Fermentado con levaduras de control y su propio pie de cuba, criado y afinado sobre lías en depósito de acero durante 5 meses. En nariz es complejo, con notas a fruta madura y marcados aromas de carácter frutal. Nariz perfumada a cítiricos y manzana verde, plátano, ciruelas, pomelo y ligero fondofloral. En boca destaca por su marcado volumen, untuoso y salino. De acidez contenida y final sutil.","NOVILUNIO Godello, DO Valdeorras","Los viñedos se encuentran en la denominación de origen Valdeorras, en Galicia. Esta región está situada en la parte oriental de Galicia y es conocida por su clima y suelos ideales para el cultivo de la uva Godello. Los suelos son diversos, incluyendo pizarra, granito y arcilla, lo que proporciona un buen drenaje y aporta mineralidad a los vinos. Estas condiciones climáticas y de suelo son ideales para las variedades de uva autóctonas, proporcionando a los vinos estructura, acidez brillante y mineralidad, junto con aromas característicos de frutas cítricas. Las uvas se recolectan a mano, racimo por racimo, en cestas de 15 kg. Se realiza una fermentación controlada en depósitos de acero inoxidable y un envejecimiento sobre lías (sur lie) durante 5 meses, con removido periódico (battônnage). El vino presenta un color amarillo limón pálido con reflejos brillantes y de intensidad media. Posee un aroma frutal pronunciado, con notas de cítricos, manzana verde, plátano y ciruela blanca.","SEÑORIO DE BEADE, Mencía, DO Ribeiro","Los viñedos seleccionados, que abarcan una superficie de 1,5 hectáreas, se encuentran en las laderas del valle del río Avia, en Beade. Los suelos son muy pobres, con bajo contenido de arcilla, pero se caracterizan por la elevada presencia de arena granítica, conocida como Sabrego, típica de la región del Ribeiro. La densidad de plantación es de 5.000 cepas por hectárea. Las uvas se recolectan a mano. Durante la fermentación se realiza batonnage tres veces al día para maximizar la extracción de color de los hollejos. Tras la fermentación maloláctica, el vino se envejece durante 4 meses en depósitos de acero inoxidable antes del embotellado. El vino presenta un color rojo rubí brillante con reflejos violáceos. Su aroma revela un bouquet muy rico con matices frutales. En boca es equilibrado y “vivo”, con un final pronunciado y agradable de mora y frambuesa, complementado con sutiles notas de violetas.",VIÑALESA Tempranilllo,"El proceso de producción del vino comienza con la vendimia de las uvas en su punto óptimo de maduración. A continuación, las uvas se trituran para liberar su mosto e iniciar la fermentación durante un período de 7 a 14 días, mientras las pieles, semillas y el mosto permanecen en contacto para extraer color y taninos. Tras la fermentación, el vino se prensa para separarlo de los sólidos. En esta etapa, puede realizarse opcionalmente la fermentación maloláctica para reducir la acidez. Color rojo granate con matices violáceos, limpio y brillante. Aromas complejos de frutas maduras bien integrados con sutiles notas especiadas de vainilla y caramelo. Vino redondo y bien equilibrado, con un final suave pero largo.",BEADE Primacia Treixadura DO Ribeiro,"The vineyards cover 7 hectares in the Avia River valley in Beade. The average age of the vines is 25 years. The soils are very poor, with low clay content, but are characterized by the high presence of granite sand known as Sabrego, typical of the Ribeiro region. The mountains isolate the region from the influence of the Atlantic Ocean. A slightly continental climate, combined with prevailing air currents, creates a significant temperature difference between day and night. This promotes the slow maturation of polyphenols, making the wine rich and aromatic. The grapes are handpicked, followed by careful sorting before being sent to the press. Only the first press, known as the ""grape tear,"" is used for winemaking. Decanting is done through the gravitational method. Fermentation takes place at a stable low temperature to preserve all the aromatic qualities of the grapes. The wine has a bright straw color, with an elegant aroma of citrus and white fruits, complemented by floral notes.",NOVILUNIO Mencía DO RIBEIRA SACRA,"The 30-hectare estate vineyards are located in the Ribeiro Sacra wine region in the heart of Galicia. The vines have very low yields and are cultivated using traditional terraced farming methods. Grapes are hand-harvested, bunch by bunch, in 12 kg baskets. Controlled fermentation temperature. The wine is aged in stainless steel tanks for a minimum of 5 months before bottling. The wine has a bright cherry color with high intensity and a purple rim. It has a rich aroma with notes of ripe currants, blackberries, wild strawberries, and raspberries, with a subtle floral backdrop of violet. A wine with character. Refreshing on the palate, balanced, complex, and long-lasting. It stands out for its elegance and complexity.","BEADE 25 AUTHOR Loureira, DO Ribeiro","The vineyards are located on 1 hectare in the Avia River valley in Beade. The average age of the vines is 20 years. The soils are very poor, with low clay content, but are characterized by the high presence of granite sand known as Sabrego, typical of the Ribeiro region. The grapes are handpicked, followed by careful sorting before being sent to the press. Decanting is done through the gravitational method. Only the first press, known as the ""grape tear,"" is used for winemaking. Fermentation takes place at a stable low temperature to preserve all the aromatic qualities of the grapes. The wine has a bright golden color with greenish reflections. Its elegant floral aroma is complemented by pronounced mineral notes and herbal hints of bay leaf. It has a balanced, refreshing acidity, and is complex and full-bodied on the palate with a long finish.",FLECHAZO Garnacha DO LA MANCHA,"The vineyards are located at an altitude of 750 meters above sea level, with vines that are 30–50 years old. The grapes are harvested mechanically. Afterward, they undergo quality control and are sent to the press. The harvest starts early September. Fermentation occurs in stainless steel tanks under temperature control over 10-14 days to preserve all the aromatic qualities of the grapes. This vibrant and versatile wine has a deep ruby-red color with a velvety hue. It captivates with its rich aroma of forest fruits, blackberry, and subtle spicy notes of black pepper. The taste is rounded with good structure and is accompanied by a long, pleasant fruity aftertaste."
100 PALOS,,http://MenchacaWines.com,"Cancheras edificio 03 nave 04, 28750, MADRID , Spain",+34616946873,"Montjuïc, Pavilion 8, Level 0, Street A, Stand 357",,,,,,,,,,,,,,,,,,,,
300 LÍOS VOLCANIC GRAPES,,http://www.300lios.com,616511951,,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 630",300 Lios Volcanic Grapes Rosado,"Rosado barrica sobre lías 12 meses, elaborado con Listán Negro 100% procedente de viñedos propios en Cordón Trenzado.",300 Lios Volcanic Grapes Albillo Criollo,"Blanco barrica sobre lías 12 meses, elaborado con Albillo Criollo 100% procedente de viñedos propios en Cordón Trenzado.",300 Líos Volcanic Grapes Vidueño,"Blanco barrica sobre lías 12 meses, elaborado con Listán BLanco, Vijariego Blanco y Albillo Criollo procedente de viñedos propios en Cordón Trenzado.",Informal,"Blanco barrica sobre lías, elaborado con Vijariego Blanco y Listán Blanco procedente de viñedos propios en Cordón Trenzado.",Incierto,"Blanco barrica sobre lías 11 meses, elaborado con Albillo Criollo100% procedente de viñedos propios en Cordón Trenzado.",,,,,,,,,,
3 TERRUÑOS,"At 3 Terruños we make organic D.O.P. Jumilla wines together with winegrowers who work the land in a sustainable way. We select grapes from different places and vinify them with modern techniques and minimal intervention, so that each wine preserves the essence of the variety and honestly expresses the landscape where is coming from. *** Respect for the environment: We prioritize ecological practices in the vineyard and winery, reducing our impact: sustainable vineyards, responsible management of resources and clean processes that allow nature to express itself with purity. *** Artisanal quality: We work with limited batches with an artisanal approach, combining the experience of small winegrowers and oenological precision to create honest wines with their own character in each variety. *** Constant innovation: We explore new terroirs, winemaking methods and ageing, integrating current tools without sacrificing our essence: minimal intervention and maximum expression of the origin.",https://3terrunos.com/,644641333,,"Montjuïc, Pavilion 8, Level 0, Street F, Stand 252",La Sirvienta,"Monovarietal airén organic wine, made with a cold maceration with its skins for 3 days and slow fermentation at low temperature in stainless steel tanks to preserve its varietal character to the maximum. It comes from a unique place in La Hoya de Torres, DOP Jumilla, with old vines on ungrafted feet located at an altitude of more than 800 metres. Production limited to 1,487 bottles and aged for more than 5 months in used 225 liters French oak barrels. It has a bright golden color. On the nose it is intense and complex, with a range of apples ranging from fresh fruit to roasted apple and cider, accompanied by delicate touches of fine wood, bay leaf, ripe citrus and peach, with subtle hints of honey and light smoky nuances. On the palate it has great volume and well-integrated acidity, it is enveloping, sapid and slightly liqueur, with a creamy texture and a very long, persistent and aromatic finish that invites you to continue drinking.",La Reina,"Coming from old ungrafted vines located at an altitude of more than 800 metres, it is aged for eleven months in used French oak barrels. It is the deepest and most serious wine of the house, with great structure, outstanding minerality and remarkable aging capacity. Very limited production: only 1,151 bottles. It has a dark cherry color with a bright garnet rim. On the nose it displays a precise and elegant intensity, with blackberries and ripe cherries in the foreground, accompanied by fine spices, Mediterranean mountain herbs and subtle hints of fine cabinetry. On the palate it is juicy and sapid, with excellent balance, polished tannins and light toasted touches perfectly integrated. The good acidity provides nerve and balsamic freshness, culminating in a long, elegant, persistent finish of marked complexity.",La Intrépida,"It is an organic Mediterranean coupage of 70% Garnacha Tintorera from the Gamellón area, 15% Monastrell and 15% Airén. We seek to maintain the maturity and depth of the Garnacha Tintorera, providing fluidity and color stability thanks to the Airén. Monastrell adds acidity and aromatic complexity, with more red fruit and spicy nuances. It completes a seven-month aging in barrels, mainly French and American, to integrate the wood without detracting from the fruit. It has a very covered cherry colour, with a deep bluish rim and dense tears. On the nose it is shown with high intensity, very expressive, with abundant very ripe black and red fruit, hints of blackberries and plums, balsamic that refresh the whole, delicate notes of blue flowers and a marked mineral background with subtle iodized and saltpeter nuances. On the palate it is broad and juicy, tasty and powerful but fluid, with polished tannins, good acidity and a very long, enveloping and aromatic finish.",,,,,,,,,,,,,,
"41NORTE, BOUTIQUE WINERY & VINEYARDS","PHILOSOPHY The concept of our business is that of a Boutique Winery based on: •An artisanal handmade process. •Elaboration by terroirs with sustainable vineyard care. •Limited production that guarantees a product of the highest quality. •Unique designs. Our philosophy encompasses taking care of the most minute details from vine to glass to provide you with A TRUE EXPERIENCE. HISTORY 41N was founded by five detail-oriented partners who love work well done. In 2012, after ten years of research and experience, our dream was eagerly launched. Our simple principle continues to hold true,“Time is our ally and patience our virtue.” 41Norte Boutique Winery & Vineyards",https://41norte.com/,633254543,,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 94",1_ WineMusic Rock,"WineMusic Rock Tour 2022 D.O. Ribera del Duero Variety: 100% Tempranillo Aging: In concrete tanks and new French oak barrels Bottle aging: minimum 12 months Tasting notes: Visual: High layer, clean and bright. Cherry color. Aroma: Good intensity of red fruits, strawberry and cream, nuts and balsamic notes, clean and complex. Pure fruit, pure expression of Tempranillo with minimal intervention from the barrel. On the palate: Red fruit acidity with balance. Elegant, dynamic and frank with sweet tannins. It has a pleasant and fleshy entry. The fruity notes reappear in the aftertaste. Through the QR code on the label you can enjoy the music with which this PURE ROCK wine has been made.",1_ 41N Selected Harvest,"D.O. Ribera del Duero Variety: 100% Tempranillo Aged in new French oak barrels for 24 months and refined in concrete Bottle aging: minimum 24 months Tasting notes: Visual: High layer, clean and bright. Dark cherry color with garnet rim. Aroma: Good intensity of ripe red fruits, dry mountain and rockrose, light waxes, liqueur notes, dry spices (cloves, pepper), clean and complex. Includes notes of chocolate and licorice. On the palate: Elegant and balsamic spice with sweet tannins. It has a nice and meaty entry. The fruity notes reappear in aftertaste.",1_41N Boutique,"D.O. Ribera del Duero Variety: 100% Tempranillo Barrel ageing: 20 months in new French oak barrels Bottle aging: minimum 24 months Production: 4,400 bottles Tasting notes:Visual: Clean, bright cherry color with cardinal edges, high color layer that denotes travel.  Olfactory: Powerful nose, ripe red and black fruits such as blackberry and raspberry, aromatic forest, dried mint and liquorice. Plum peel, spicy and spicy curry, spaced notes like cloves and balsamic (eucalyptus), with mineral notes and a slight toasted touch. Taste: Balanced entry, pleasant on the palate, velvety mid-palate and very well polished sweet tannins, with a persistent aftertaste with hints of ripe fruit. Pairing red meats, small game and roasts.",1_ MARCOLI,"D.O. Ribera del Duero Variety: 100% Tempranillo Barrel ageing: 30 months in new French oak barrels Bottle aging: minimum 24 months Production: 1,160 bottles. Grapes from 80-year-old vines, the grapes were separated one by one manually, half carbonic fermentation, followed by alcoholic and malolactic fermentation in French barrels. It is a very exclusive wine of which only 1160 bottles have been produced.  Tasting notes: Visual: Clean, very high and bright layer of color in cherry color with cardinal trim. Olfactory: Clean with very complex aromas, ripe black fruit, currant and plum stand out with hints of orange peel, graphite and dried leaves, balsamic and cloves. Taste: Elegant, sweet and complex, with a friendly entry, very long and with velvety tannins. Aftertaste reminiscent of ripe black fruits. Aging: 20 to 25 years",1_ 41N r- BOLD,"D.O. Ribera del Duero Variety: 100% Tempranillo Barrel ageing: 4 months in new French oak barrels Production: 4,000 bottles Tasting notes: Visual: clean, bright, light color. Onion skin with salmon reflections and orange rims indicating its passage through barrel. Olfactory: on the nose, red fruit stands out, cassis with honeyed touches and a slight hint of pastries. Taste: on the palate with a silky entry, well balanced in the centre and mineral finish, with a pleasant aftertaste with a riper fruit.  ",,,,,,,,,,
